mgi_symbol	ensembl_gene_id
5330417C22Rik	ENSMUSG00000040412
5330434G04Rik	ENSMUSG00000087620
5430403G16Rik	ENSMUSG00000072763
5430416N02Rik	ENSMUSG00000097772
5730409E04Rik	ENSMUSG00000073755
5730480H06Rik	ENSMUSG00000029089
6030443J06Rik	ENSMUSG00000097207
6030471H07Rik	ENSMUSG00000085217
6030498E09Rik	ENSMUSG00000051361
6330409D20Rik	ENSMUSG00000009551
6330562C20Rik	ENSMUSG00000093424
9330182L06Rik	ENSMUSG00000056004
9430015G10Rik	ENSMUSG00000059939
9530036O11Rik	ENSMUSG00000097726
9930104L06Rik	ENSMUSG00000044730
A130010J15Rik	ENSMUSG00000079144
A3galt2	ENSMUSG00000028794
A430005L14Rik	ENSMUSG00000047613
A630072M18Rik	ENSMUSG00000101013
A830018L16Rik	ENSMUSG00000057715
A930003O13Rik	ENSMUSG00000105076
A930004D18Rik	ENSMUSG00000054057
A930024E05Rik	ENSMUSG00000056735
AA387200	ENSMUSG00000085946
AA986860	ENSMUSG00000042510
Aacs	ENSMUSG00000029482
Aamp	ENSMUSG00000006299
Aar2	ENSMUSG00000027628
Aasdh	ENSMUSG00000055923
Abca1	ENSMUSG00000015243
Abca2	ENSMUSG00000026944
Abcb1a	ENSMUSG00000040584
Abcb1b	ENSMUSG00000028970
Abcb4	ENSMUSG00000042476
Abcb6	ENSMUSG00000026198
Abcb7	ENSMUSG00000031333
Abcb8	ENSMUSG00000028973
Abcb9	ENSMUSG00000029408
Abcd1	ENSMUSG00000031378
Abcd3	ENSMUSG00000028127
Abcf2	ENSMUSG00000028953
Abhd11	ENSMUSG00000040532
Abhd12	ENSMUSG00000032046
Abhd18	ENSMUSG00000037818
Abhd18	ENSMUSG00000115963
Abi1	ENSMUSG00000058835
Abi2	ENSMUSG00000026782
Abl1	ENSMUSG00000026842
Abl2	ENSMUSG00000026596
Ablim2	ENSMUSG00000029095
Abraxas1	ENSMUSG00000035234
Abtb2	ENSMUSG00000032724
Acad10	ENSMUSG00000029456
Acad12	ENSMUSG00000042647
Acad9	ENSMUSG00000027710
Acadl	ENSMUSG00000026003
Acadm	ENSMUSG00000062908
Acads	ENSMUSG00000029545
Acap3	ENSMUSG00000029033
Acbd3	ENSMUSG00000026499
Acbd5	ENSMUSG00000026781
Acbd6	ENSMUSG00000033701
Acbd7	ENSMUSG00000026644
Accs	ENSMUSG00000040272
Acer2	ENSMUSG00000038007
Ackr1	ENSMUSG00000037872
Aco1	ENSMUSG00000028405
Acot11	ENSMUSG00000034853
Acot7	ENSMUSG00000028937
Acot8	ENSMUSG00000017307
Acot9	ENSMUSG00000025287
Acox3	ENSMUSG00000029098
Acp2	ENSMUSG00000002103
Acp6	ENSMUSG00000028093
Acsl3	ENSMUSG00000032883
Acsl4	ENSMUSG00000031278
Acss2	ENSMUSG00000027605
Actl6a	ENSMUSG00000027671
Actr1b	ENSMUSG00000037351
Actr3	ENSMUSG00000026341
Actr3b	ENSMUSG00000056367
Acvr1	ENSMUSG00000026836
Acvr2a	ENSMUSG00000052155
Ada	ENSMUSG00000017697
Adal	ENSMUSG00000027259
Adam15	ENSMUSG00000028041
Adam22	ENSMUSG00000040537
Adam23	ENSMUSG00000025964
Adamtsl2	ENSMUSG00000036040
Adar	ENSMUSG00000027951
Add1	ENSMUSG00000029106
Adgra3	ENSMUSG00000029090
Adgrb2	ENSMUSG00000028782
Adgrb3	ENSMUSG00000033569
Adgrd1	ENSMUSG00000044017
Adgrg2	ENSMUSG00000031298
Adgrl2	ENSMUSG00000028184
Adgrl3	ENSMUSG00000037605
Adgrl4	ENSMUSG00000039167
Adh5	ENSMUSG00000028138
Adh7	ENSMUSG00000055301
Adipor1	ENSMUSG00000026457
Adora1	ENSMUSG00000042429
Adprhl2	ENSMUSG00000042558
Adra2c	ENSMUSG00000045318
Adrm1	ENSMUSG00000039041
Adss	ENSMUSG00000015961
Afap1	ENSMUSG00000029094
Aff1	ENSMUSG00000029313
Aff2	ENSMUSG00000031189
Aff3	ENSMUSG00000037138
Afp	ENSMUSG00000054932
Agap1	ENSMUSG00000055013
Agap3	ENSMUSG00000023353
Agbl5	ENSMUSG00000029165
Agfg1	ENSMUSG00000026159
Agl	ENSMUSG00000033400
Ago1	ENSMUSG00000041530
Ago3	ENSMUSG00000028842
Ago4	ENSMUSG00000042500
Agpat2	ENSMUSG00000026922
Agps	ENSMUSG00000042410
Agrn	ENSMUSG00000041936
Agtr1b	ENSMUSG00000054988
Agtrap	ENSMUSG00000029007
Ahctf1	ENSMUSG00000026491
Ahcy	ENSMUSG00000027597
Ahcyl1	ENSMUSG00000027893
Ahdc1	ENSMUSG00000037692
AI427809	ENSMUSG00000086712
AI480526	ENSMUSG00000090086
AI504432	ENSMUSG00000056145
AI597479	ENSMUSG00000010290
AI838599	ENSMUSG00000085180
AI839979	ENSMUSG00000107355
AI847159	ENSMUSG00000084826
Aida	ENSMUSG00000042901
Aif1l	ENSMUSG00000001864
Aifm1	ENSMUSG00000036932
Aimp1	ENSMUSG00000028029
Ak1	ENSMUSG00000026817
Ak2	ENSMUSG00000028792
Ak4	ENSMUSG00000028527
Ak5	ENSMUSG00000039058
Akap17b	ENSMUSG00000059708
Akap9	ENSMUSG00000040407
Akirin1	ENSMUSG00000023075
Akirin2	ENSMUSG00000028291
Akr1a1	ENSMUSG00000028692
Akr7a5	ENSMUSG00000028743
Akt3	ENSMUSG00000019699
Alad	ENSMUSG00000028393
Aldh2	ENSMUSG00000029455
Aldh4a1	ENSMUSG00000028737
Aldh9a1	ENSMUSG00000026687
Alg13	ENSMUSG00000041718
Alg14	ENSMUSG00000039887
Alg2	ENSMUSG00000039740
Alg5	ENSMUSG00000036632
Alg6	ENSMUSG00000073792
Alg6	ENSMUSG00000116382
Alkbh2	ENSMUSG00000044339
Alkbh3	ENSMUSG00000040174
Alkbh4	ENSMUSG00000039754
Alyref2	ENSMUSG00000060244
Ambra1	ENSMUSG00000040506
Amer1	ENSMUSG00000050332
Amer3	ENSMUSG00000045174
Amigo1	ENSMUSG00000050947
Ammecr1	ENSMUSG00000042225
Amot	ENSMUSG00000041688
Ampd2	ENSMUSG00000027889
Amy1	ENSMUSG00000074264
Anapc1	ENSMUSG00000014355
Anapc2	ENSMUSG00000026965
Anapc4	ENSMUSG00000029176
Anapc5	ENSMUSG00000029472
Anapc7	ENSMUSG00000029466
Angel2	ENSMUSG00000026634
Angptl2	ENSMUSG00000004105
Ank2	ENSMUSG00000032826
Ankib1	ENSMUSG00000040351
Ankle2	ENSMUSG00000029501
Ankrd13a	ENSMUSG00000041870
Ankrd13c	ENSMUSG00000039988
Ankrd16	ENSMUSG00000047909
Ankrd17	ENSMUSG00000055204
Ankrd34a	ENSMUSG00000049097
Ankrd35	ENSMUSG00000038354
Ankrd39	ENSMUSG00000079610
Ankrd44	ENSMUSG00000052331
Ankrd45	ENSMUSG00000044835
Ankrd50	ENSMUSG00000044864
Ankrd6	ENSMUSG00000040183
Anks6	ENSMUSG00000066191
Ankzf1	ENSMUSG00000026199
Ano3	ENSMUSG00000074968
Anp32b	ENSMUSG00000028333
Anp32e	ENSMUSG00000015749
Antxr2	ENSMUSG00000029338
Anxa3	ENSMUSG00000029484
Anxa5	ENSMUSG00000027712
Aox1	ENSMUSG00000063558
Ap1ar	ENSMUSG00000074238
Ap1s2	ENSMUSG00000031367
Ap1s3	ENSMUSG00000054702
Ap4b1	ENSMUSG00000032952
Ap4e1	ENSMUSG00000001998
Ap5s1	ENSMUSG00000068264
Apbb2	ENSMUSG00000029207
Apex2	ENSMUSG00000025269
Aph1a	ENSMUSG00000015750
Api5	ENSMUSG00000027193
Apip	ENSMUSG00000010911
Apmap	ENSMUSG00000033096
Apoa2	ENSMUSG00000005681
Apoo	ENSMUSG00000079508
Apool	ENSMUSG00000025525
Aptx	ENSMUSG00000028411
Aqr	ENSMUSG00000040383
Ar	ENSMUSG00000046532
Araf	ENSMUSG00000001127
Arap2	ENSMUSG00000037999
Arfgap1	ENSMUSG00000027575
Arfgap2	ENSMUSG00000027255
Arfgef1	ENSMUSG00000067851
Arfgef2	ENSMUSG00000074582
Arfip1	ENSMUSG00000074513
Arfrp1	ENSMUSG00000038671
Arhgap1	ENSMUSG00000027247
Arhgap11a	ENSMUSG00000041219
Arhgap15	ENSMUSG00000049744
Arhgap21	ENSMUSG00000036591
Arhgap24	ENSMUSG00000057315
Arhgap29	ENSMUSG00000039831
Arhgap36	ENSMUSG00000036198
Arhgap6	ENSMUSG00000031355
Arhgef10l	ENSMUSG00000040964
Arhgef11	ENSMUSG00000041977
Arhgef19	ENSMUSG00000028919
Arhgef2	ENSMUSG00000028059
Arhgef26	ENSMUSG00000036885
Arhgef4	ENSMUSG00000037509
Arhgef4	ENSMUSG00000118272
Arhgef6	ENSMUSG00000031133
Arhgef9	ENSMUSG00000025656
Arid1a	ENSMUSG00000007880
Arid5a	ENSMUSG00000037447
Arl14ep	ENSMUSG00000027122
Arl4c	ENSMUSG00000049866
Arl5a	ENSMUSG00000036093
Arl5b	ENSMUSG00000017418
Arl6ip4	ENSMUSG00000029404
Arl6ip6	ENSMUSG00000026960
Arl8a	ENSMUSG00000026426
Armc1	ENSMUSG00000027599
Armc10	ENSMUSG00000038525
Armc9	ENSMUSG00000062590
Armcx1	ENSMUSG00000033460
Armcx2	ENSMUSG00000033436
Armcx3	ENSMUSG00000049047
Armcx4	ENSMUSG00000049804
Armcx5	ENSMUSG00000072969
Armcx6	ENSMUSG00000050394
Arnt	ENSMUSG00000015522
Arpc2	ENSMUSG00000006304
Arpc3	ENSMUSG00000029465
Arpc5	ENSMUSG00000008475
Arpc5l	ENSMUSG00000026755
Arrdc1	ENSMUSG00000026972
Arsj	ENSMUSG00000046561
Art3	ENSMUSG00000034842
Arxes1	ENSMUSG00000048355
Arxes2	ENSMUSG00000048040
Asb1	ENSMUSG00000026311
Asb6	ENSMUSG00000039483
Ash1l	ENSMUSG00000028053
Asic3	ENSMUSG00000038276
Asl	ENSMUSG00000025533
Asnsd1	ENSMUSG00000026095
Asph	ENSMUSG00000028207
Asphd2	ENSMUSG00000029348
Ass1	ENSMUSG00000076441
Astn1	ENSMUSG00000026587
Astn2	ENSMUSG00000028373
Asxl1	ENSMUSG00000042548
Atad3a	ENSMUSG00000029036
Atf2	ENSMUSG00000027104
Atf3	ENSMUSG00000026628
Atf6	ENSMUSG00000026663
Atg13	ENSMUSG00000027244
Atg16l1	ENSMUSG00000026289
Atg4a	ENSMUSG00000079418
Atg4a	ENSMUSG00000116318
Atg4b	ENSMUSG00000026280
Atg4c	ENSMUSG00000028550
Atg9a	ENSMUSG00000033124
Atg9b	ENSMUSG00000038295
Atic	ENSMUSG00000026192
Atp11b	ENSMUSG00000037400
Atp11c	ENSMUSG00000062949
Atp11c	ENSMUSG00000108408
Atp13a2	ENSMUSG00000036622
Atp1a1	ENSMUSG00000033161
Atp1a2	ENSMUSG00000007097
Atp1b1	ENSMUSG00000026576
Atp2a2	ENSMUSG00000029467
Atp2b3	ENSMUSG00000031376
Atp2b4	ENSMUSG00000026463
Atp5c1	ENSMUSG00000025781
Atp5e	ENSMUSG00000016252
Atp5g3	ENSMUSG00000018770
Atp5k	ENSMUSG00000050856
Atp6ap1	ENSMUSG00000019087
Atp6ap2	ENSMUSG00000031007
Atp6v0a2	ENSMUSG00000038023
Atp6v0b	ENSMUSG00000033379
Atp6v1g1	ENSMUSG00000039105
Atp6v1h	ENSMUSG00000033793
Atp7a	ENSMUSG00000033792
Atp8a1	ENSMUSG00000037685
Atp8b2	ENSMUSG00000060671
Atp9a	ENSMUSG00000027546
Atpaf1	ENSMUSG00000028710
Atpif1	ENSMUSG00000054428
Atraid	ENSMUSG00000013622
Atrn	ENSMUSG00000027312
Atrx	ENSMUSG00000031229
Atxn2	ENSMUSG00000042605
Atxn7l2	ENSMUSG00000048997
AU022252	ENSMUSG00000078584
AU040320	ENSMUSG00000028830
Aurka	ENSMUSG00000027496
Aurkaip1	ENSMUSG00000065990
Auts2	ENSMUSG00000029673
Aven	ENSMUSG00000003604
Azin2	ENSMUSG00000028789
B230118H07Rik	ENSMUSG00000027165
B230312C02Rik	ENSMUSG00000084843
B230334C09Rik	ENSMUSG00000104597
B230369F24Rik	ENSMUSG00000086350
B230369F24Rik	ENSMUSG00000111408
B2m	ENSMUSG00000060802
B3galnt1	ENSMUSG00000043300
B3galt1	ENSMUSG00000034780
B3galt2	ENSMUSG00000033849
B3galt6	ENSMUSG00000050796
B3gat2	ENSMUSG00000026156
B4galt1	ENSMUSG00000028413
B4galt2	ENSMUSG00000028541
B4galt3	ENSMUSG00000052423
B4galt5	ENSMUSG00000017929
B630019K06Rik	ENSMUSG00000052364
B930036N10Rik	ENSMUSG00000091993
Babam2	ENSMUSG00000052139
Bach2	ENSMUSG00000040270
Bag1	ENSMUSG00000028416
Bag2	ENSMUSG00000042215
Bahd1	ENSMUSG00000040007
Bank1	ENSMUSG00000037922
Bard1	ENSMUSG00000026196
Baz1b	ENSMUSG00000002748
Baz2b	ENSMUSG00000026987
Bbs5	ENSMUSG00000063145
Bbs7	ENSMUSG00000037325
BC005624	ENSMUSG00000026851
BC028528	ENSMUSG00000038543
BC029722	ENSMUSG00000074649
BC034090	ENSMUSG00000033722
BC052040	ENSMUSG00000040282
Bcan	ENSMUSG00000004892
Bcap31	ENSMUSG00000002015
Bcar3	ENSMUSG00000028121
Bcas1	ENSMUSG00000013523
Bcas2	ENSMUSG00000005687
Bche	ENSMUSG00000027792
Bcl10	ENSMUSG00000028191
Bcl2	ENSMUSG00000057329
Bcl2l1	ENSMUSG00000007659
Bcl2l11	ENSMUSG00000027381
Bcl7a	ENSMUSG00000029438
Bcl7b	ENSMUSG00000029681
Bcl9	ENSMUSG00000038256
Bclaf3	ENSMUSG00000044150
Bcor	ENSMUSG00000040363
Bcorl1	ENSMUSG00000036959
Bcs1l	ENSMUSG00000026172
Bdnf	ENSMUSG00000048482
Bend4	ENSMUSG00000092060
Bend5	ENSMUSG00000028545
Bend6	ENSMUSG00000042182
Bend7	ENSMUSG00000048186
Bex1	ENSMUSG00000050071
Bex2	ENSMUSG00000042750
Bex3	ENSMUSG00000046432
Bex4	ENSMUSG00000047844
Bfsp1	ENSMUSG00000027420
Bgn	ENSMUSG00000031375
Bhlhb9	ENSMUSG00000072964
Bicdl1	ENSMUSG00000041609
Bivm	ENSMUSG00000041684
Blcap	ENSMUSG00000067787
Bloc1s4	ENSMUSG00000060708
Bloc1s6	ENSMUSG00000005804
Blvra	ENSMUSG00000001999
Blzf1	ENSMUSG00000026577
Bmf	ENSMUSG00000040093
Bmi1	ENSMUSG00000026739
Bmp15	ENSMUSG00000023279
Bmp2k	ENSMUSG00000034663
Bmp3	ENSMUSG00000029335
Bmpr1b	ENSMUSG00000052430
Bmpr2	ENSMUSG00000067336
Bmyc	ENSMUSG00000049086
Bnc2	ENSMUSG00000028487
Bod1l	ENSMUSG00000061755
Bok	ENSMUSG00000026278
Bola1	ENSMUSG00000015943
Bpnt1	ENSMUSG00000026617
Brap	ENSMUSG00000029458
Brcc3	ENSMUSG00000031201
Brd3	ENSMUSG00000026918
Brd3os	ENSMUSG00000109946
Brdt	ENSMUSG00000029279
Bri3bp	ENSMUSG00000037905
Brinp1	ENSMUSG00000028351
Brinp2	ENSMUSG00000004031
Brox	ENSMUSG00000046836
Brwd3	ENSMUSG00000063663
Bsdc1	ENSMUSG00000040859
Btbd19	ENSMUSG00000073771
Btbd3	ENSMUSG00000062098
Btc	ENSMUSG00000082361
Btf3l4	ENSMUSG00000028568
Btg2	ENSMUSG00000020423
Bud23	ENSMUSG00000005378
Bzw1	ENSMUSG00000051223
C130013H08Rik	ENSMUSG00000105509
C130074G19Rik	ENSMUSG00000039349
C1galt1c1	ENSMUSG00000048970
C1qa	ENSMUSG00000036887
C1qb	ENSMUSG00000036905
C1qtnf12	ENSMUSG00000023571
C1qtnf4	ENSMUSG00000040794
C1qtnf4	ENSMUSG00000110961
C1qtnf7	ENSMUSG00000061535
C330007P06Rik	ENSMUSG00000006423
C330018A13Rik	ENSMUSG00000086655
C530008M17Rik	ENSMUSG00000036377
C77080	ENSMUSG00000050390
C8g	ENSMUSG00000015083
C920021L13Rik	ENSMUSG00000080727
Caap1	ENSMUSG00000028578
Cab39	ENSMUSG00000036707
Cables2	ENSMUSG00000038990
Cabp1	ENSMUSG00000029544
Cacfd1	ENSMUSG00000015488
Cachd1	ENSMUSG00000028532
Cacna1b	ENSMUSG00000004113
Cacna1e	ENSMUSG00000004110
Cacna2d1	ENSMUSG00000040118
Cacnb2	ENSMUSG00000057914
Cacnb4	ENSMUSG00000017412
Cacybp	ENSMUSG00000014226
Cad	ENSMUSG00000013629
Cadm3	ENSMUSG00000005338
Calb1	ENSMUSG00000028222
Calcrl	ENSMUSG00000059588
Caln1	ENSMUSG00000060371
Camk1d	ENSMUSG00000039145
Camk1g	ENSMUSG00000016179
Camk2d	ENSMUSG00000053819
Camk2n1	ENSMUSG00000046447
Camkk2	ENSMUSG00000029471
Camsap1	ENSMUSG00000026933
Camsap2	ENSMUSG00000041570
Camta1	ENSMUSG00000014592
Cap1	ENSMUSG00000028656
Capn10	ENSMUSG00000026270
Capn2	ENSMUSG00000026509
Caprin1	ENSMUSG00000027184
Capza1	ENSMUSG00000070372
Capzb	ENSMUSG00000028745
Car2	ENSMUSG00000027562
Car5b	ENSMUSG00000031373
Car8	ENSMUSG00000041261
Carf	ENSMUSG00000026017
Casc4	ENSMUSG00000060227
Cask	ENSMUSG00000031012
Casp6	ENSMUSG00000027997
Casp8ap2	ENSMUSG00000028282
Casp9	ENSMUSG00000028914
Casz1	ENSMUSG00000028977
Cat	ENSMUSG00000027187
Catsper2	ENSMUSG00000033486
Catspere2	ENSMUSG00000091476
Catspere2	ENSMUSG00000110948
Cavin2	ENSMUSG00000045954
Cbfa2t2	ENSMUSG00000038533
Cc2d1b	ENSMUSG00000028582
Cc2d2a	ENSMUSG00000039765
Ccdc107	ENSMUSG00000028461
Ccdc115	ENSMUSG00000042111
Ccdc120	ENSMUSG00000031150
Ccdc141	ENSMUSG00000044033
Ccdc148	ENSMUSG00000036641
Ccdc149	ENSMUSG00000045790
Ccdc160	ENSMUSG00000073207
Ccdc163	ENSMUSG00000028689
Ccdc173	ENSMUSG00000070883
Ccdc181	ENSMUSG00000026578
Ccdc22	ENSMUSG00000031143
Ccdc28b	ENSMUSG00000028795
Ccdc30	ENSMUSG00000028637
Ccdc32	ENSMUSG00000039983
Ccdc34	ENSMUSG00000027160
Ccdc39	ENSMUSG00000027676
Ccdc60	ENSMUSG00000043913
Ccdc62	ENSMUSG00000061882
Ccdc73	ENSMUSG00000045106
Ccdc92	ENSMUSG00000037979
Ccdc93	ENSMUSG00000026339
Cckar	ENSMUSG00000029193
Ccl27a	ENSMUSG00000073888
Ccl27a	ENSMUSG00000095247
Ccl27a	ENSMUSG00000093828
Ccnc	ENSMUSG00000028252
Ccndbp1	ENSMUSG00000023572
Ccne2	ENSMUSG00000028212
Ccng2	ENSMUSG00000029385
Ccni	ENSMUSG00000063015
Ccnl1	ENSMUSG00000027829
Ccnl2	ENSMUSG00000029068
Ccnt2	ENSMUSG00000026349
Ccnyl1	ENSMUSG00000070871
Cct3	ENSMUSG00000001416
Cd164l2	ENSMUSG00000028865
Cd1d1	ENSMUSG00000028076
Cd34	ENSMUSG00000016494
Cd38	ENSMUSG00000029084
Cd44	ENSMUSG00000005087
Cd46	ENSMUSG00000016493
Cd55	ENSMUSG00000026399
Cd59a	ENSMUSG00000032679
Cd59b	ENSMUSG00000068686
Cd82	ENSMUSG00000027215
Cd93	ENSMUSG00000027435
Cd99l2	ENSMUSG00000035776
Cda	ENSMUSG00000028755
Cdan1	ENSMUSG00000027284
Cdc123	ENSMUSG00000039128
Cdc14a	ENSMUSG00000033502
Cdc25b	ENSMUSG00000027330
Cdc26	ENSMUSG00000066149
Cdc42	ENSMUSG00000006699
Cdc42bpa	ENSMUSG00000026490
Cdc42se1	ENSMUSG00000046722
Cdc7	ENSMUSG00000029283
Cdc73	ENSMUSG00000026361
Cdca8	ENSMUSG00000028873
Cdh19	ENSMUSG00000047216
Cdh4	ENSMUSG00000000305
Cdh7	ENSMUSG00000026312
Cdk11b	ENSMUSG00000029062
Cdk14	ENSMUSG00000028926
Cdk15	ENSMUSG00000026023
Cdk16	ENSMUSG00000031065
Cdk18	ENSMUSG00000026437
Cdk2ap1	ENSMUSG00000029394
Cdk5	ENSMUSG00000028969
Cdk5r2	ENSMUSG00000090071
Cdk5rap1	ENSMUSG00000027487
Cdk5rap2	ENSMUSG00000039298
Cdk6	ENSMUSG00000040274
Cdk9	ENSMUSG00000009555
Cdkl2	ENSMUSG00000029403
Cdkl5	ENSMUSG00000031292
Cdkn2c	ENSMUSG00000028551
Cdnf	ENSMUSG00000039496
Cds1	ENSMUSG00000029330
Cds2	ENSMUSG00000058793
Cebpb	ENSMUSG00000056501
Celf1	ENSMUSG00000005506
Celf1	ENSMUSG00000110883
Celf2	ENSMUSG00000002107
Celf3	ENSMUSG00000028137
Celsr2	ENSMUSG00000068740
Cenpa	ENSMUSG00000029177
Cenpb	ENSMUSG00000068267
Cenpc1	ENSMUSG00000029253
Cenpf	ENSMUSG00000026605
Cenpl	ENSMUSG00000026708
Cenps	ENSMUSG00000073705
Cep104	ENSMUSG00000039523
Cep135	ENSMUSG00000036403
Cep152	ENSMUSG00000068394
Cep170	ENSMUSG00000057335
Cep250	ENSMUSG00000038241
Cep350	ENSMUSG00000033671
Cep85	ENSMUSG00000037443
Cept1	ENSMUSG00000040774
Cers2	ENSMUSG00000015714
Cers6	ENSMUSG00000027035
Cetn2	ENSMUSG00000031347
Cetn4	ENSMUSG00000045031
Cfap126	ENSMUSG00000026649
Cfap206	ENSMUSG00000028294
Cfap57	ENSMUSG00000028730
Cfap61	ENSMUSG00000037143
Cfap69	ENSMUSG00000040473
Cfh	ENSMUSG00000026365
Cflar	ENSMUSG00000026031
Cfp	ENSMUSG00000001128
Cgn	ENSMUSG00000068876
Cgref1	ENSMUSG00000029161
Chac1	ENSMUSG00000027313
Chchd2	ENSMUSG00000070493
Chchd5	ENSMUSG00000037938
Chchd7	ENSMUSG00000042198
Chd1l	ENSMUSG00000028089
Chd5	ENSMUSG00000005045
Chd6	ENSMUSG00000057133
Chd7	ENSMUSG00000041235
Chek2	ENSMUSG00000029521
Chfr	ENSMUSG00000014668
Chgb	ENSMUSG00000027350
Chia1	ENSMUSG00000062778
Chic1	ENSMUSG00000031327
Chic2	ENSMUSG00000029229
Chit1	ENSMUSG00000026450
Chm	ENSMUSG00000025531
Chml	ENSMUSG00000078185
Chmp4b	ENSMUSG00000038467
Chmp5	ENSMUSG00000028419
Chn1	ENSMUSG00000056486
Chp1	ENSMUSG00000014077
Chpf	ENSMUSG00000032997
Chpf2	ENSMUSG00000038181
Chrna1os	ENSMUSG00000086382
Chrna4	ENSMUSG00000027577
Chrnb2	ENSMUSG00000027950
Chst1	ENSMUSG00000027221
Chst10	ENSMUSG00000026080
Chst14	ENSMUSG00000074916
Chtop	ENSMUSG00000001017
Ciao1	ENSMUSG00000003662
Ciart	ENSMUSG00000038550
Cir1	ENSMUSG00000041777
Cisd2	ENSMUSG00000028165
Cit	ENSMUSG00000029516
Cited1	ENSMUSG00000051159
Cited4	ENSMUSG00000070803
Ciz1	ENSMUSG00000039205
Ckap5	ENSMUSG00000040549
Ckmt1	ENSMUSG00000000308
Cks1b	ENSMUSG00000028044
Clasp1	ENSMUSG00000064302
Clca2	ENSMUSG00000036960
Clcc1	ENSMUSG00000027884
Clcn5	ENSMUSG00000004317
Clcn6	ENSMUSG00000029016
Cldn12	ENSMUSG00000046798
Cldn34c1	ENSMUSG00000079450
Clic4	ENSMUSG00000037242
Clip1	ENSMUSG00000049550
Clip2	ENSMUSG00000063146
Clk1	ENSMUSG00000026034
Clk2	ENSMUSG00000068917
Clock	ENSMUSG00000029238
Clp1	ENSMUSG00000027079
Clrn1	ENSMUSG00000043850
Clstn1	ENSMUSG00000039953
Clta	ENSMUSG00000028478
Clvs1	ENSMUSG00000041216
Cmc4	ENSMUSG00000090110
Cmpk1	ENSMUSG00000028719
Cnbd2	ENSMUSG00000038085
Cnih3	ENSMUSG00000026514
Cnih4	ENSMUSG00000062169
Cnksr2	ENSMUSG00000025658
Cnn3	ENSMUSG00000053931
Cnnm3	ENSMUSG00000001138
Cnnm4	ENSMUSG00000037408
Cnot11	ENSMUSG00000003135
Cnot6l	ENSMUSG00000034724
Cnot9	ENSMUSG00000026174
Cnppd1	ENSMUSG00000033159
Cnr1	ENSMUSG00000044288
Cnst	ENSMUSG00000038949
Cntfr	ENSMUSG00000028444
Cntln	ENSMUSG00000038070
Cntn2	ENSMUSG00000053024
Cntnap5a	ENSMUSG00000070695
Cntrl	ENSMUSG00000057110
Coa5	ENSMUSG00000026112
Coa7	ENSMUSG00000048351
Cobll1	ENSMUSG00000034903
Cog6	ENSMUSG00000027742
Col11a1	ENSMUSG00000027966
Col15a1	ENSMUSG00000028339
Col16a1	ENSMUSG00000040690
Col19a1	ENSMUSG00000026141
Col24a1	ENSMUSG00000028197
Col25a1	ENSMUSG00000058897
Col27a1	ENSMUSG00000045672
Col3a1	ENSMUSG00000026043
Col4a4	ENSMUSG00000067158
